Frame,Unix Time,Name,Age (Confidence),Gender (Confidence),Emotion (Confidence),Race Percentages,Bounding Box
20,1737795939,Unknown,26,"{'Woman': 0.15250869328156114, 'Man': 99.84748959541321}",neutral (97.79),"{'asian': 4.578730091452599, 'indian': 2.69500482827425, 'black': 0.7334177847951651, 'white': 46.6141402721405, 'middle eastern': 14.05109316110611, 'latino hispanic': 31.327614188194275}","(318, 146, 1658, 1070)"
21,1737795940,Unknown,26,"{'Woman': 0.14241676544770598, 'Man': 99.85758066177368}",neutral (99.28),"{'asian': 5.718256097228061, 'indian': 3.2048102563393424, 'black': 0.8958747747093171, 'white': 45.787819717862575, 'middle eastern': 14.45290618573501, 'latino hispanic': 29.940337531606858}","(328, 147, 1657, 1070)"
22,1737795940,Unknown,26,"{'Woman': 0.16446232330054045, 'Man': 99.83553290367126}",neutral (99.49),"{'asian': 3.6096896398437455, 'indian': 2.510837538738544, 'black': 0.5336512640981359, 'white': 54.40212435697027, 'middle eastern': 12.3063825301668, 'latino hispanic': 26.63730959447508}","(303, 149, 1657, 1070)"
23,1737795941,Unknown,30,"{'Woman': 0.3811393165960908, 'Man': 99.61885809898376}",happy (97.23),"{'asian': 9.06063277252111, 'indian': 5.536966313358106, 'black': 1.7105674547633474, 'white': 12.498858570916482, 'middle eastern': 4.575918787827347, 'latino hispanic': 66.61706168854973}","(302, 144, 1656, 1069)"
24,1737795942,Unknown,30,"{'Woman': 0.7080962881445885, 'Man': 99.29190278053284}",happy (98.02),"{'asian': 8.740603923797607, 'indian': 4.610900208353996, 'black': 1.345814298838377, 'white': 19.14556175470352, 'middle eastern': 6.279206275939941, 'latino hispanic': 59.877920150756836}","(305, 146, 1657, 1069)"
25,1737795943,Unknown,30,"{'Woman': 1.420360617339611, 'Man': 98.57963919639587}",neutral (98.14),"{'asian': 14.035913348197937, 'indian': 11.396586894989014, 'black': 3.6269981414079666, 'white': 17.045196890830994, 'middle eastern': 11.280985921621323, 'latino hispanic': 42.61431694030762}","(317, 145, 1657, 1070)"
26,1737795944,Unknown,34,"{'Woman': 2.0225290209054947, 'Man': 97.97747731208801}",neutral (99.19),"{'asian': 8.556547525915356, 'indian': 9.485620825625707, 'black': 2.788612412727619, 'white': 17.334946533140332, 'middle eastern': 9.297907906646008, 'latino hispanic': 52.53636554100308}","(93, 145, 1644, 1071)"
27,1737795945,Unknown,32,"{'Woman': 0.5073066800832748, 'Man': 99.4926929473877}",neutral (99.52),"{'asian': 7.367394558632049, 'indian': 5.135747723921998, 'black': 1.832410802388835, 'white': 27.83922420973922, 'middle eastern': 12.424637372770153, 'latino hispanic': 45.4005864501349}","(298, 141, 1657, 1070)"
28,1737795946,Unknown,29,"{'Woman': 0.22614174522459507, 'Man': 99.77385997772217}",surprise (97.34),"{'asian': 19.31274763497682, 'indian': 13.598218691136681, 'black': 4.4575975933787335, 'white': 10.41908388365315, 'middle eastern': 6.464659448225432, 'latino hispanic': 45.747696846448996}","(322, 141, 1657, 1070)"
29,1737795947,Unknown,29,"{'Woman': 0.27367155998945236, 'Man': 99.72633123397827}",surprise (85.90),"{'asian': 18.762941658496857, 'indian': 15.930923819541931, 'black': 7.767932116985321, 'white': 9.59145501255989, 'middle eastern': 6.632119417190552, 'latino hispanic': 41.31462872028351}","(286, 145, 1657, 1070)"
30,1737795948,Unknown,28,"{'Woman': 51.73696279525757, 'Man': 48.26303422451019}",neutral (99.11),"{'asian': 7.919564644150181, 'indian': 3.5508289425576995, 'black': 6.977190735675009, 'white': 45.41755075245491, 'middle eastern': 15.58834575553587, 'latino hispanic': 20.546512836633582}","(312, 137, 1658, 1070)"
31,1737795949,Unknown,32,"{'Woman': 0.023920446983538568, 'Man': 99.97608065605164}",angry (96.67),"{'asian': 12.060749530792236, 'indian': 14.25689309835434, 'black': 6.896883249282837, 'white': 19.49048787355423, 'middle eastern': 17.6685631275177, 'latino hispanic': 29.626423120498657}","(284, 120, 1659, 1071)"
32,1737795950,Unknown,32,"{'Woman': 0.04932400188408792, 'Man': 99.95067119598389}",angry (97.42),"{'asian': 12.333489954471588, 'indian': 11.906401067972183, 'black': 4.738142713904381, 'white': 22.400765120983124, 'middle eastern': 19.824159145355225, 'latino hispanic': 28.79704236984253}","(308, 129, 1658, 1069)"
33,1737795951,Unknown,29,"{'Woman': 0.28115324676036835, 'Man': 99.71885085105896}",neutral (53.01),"{'asian': 15.428386628627777, 'indian': 14.297658205032349, 'black': 7.407600432634354, 'white': 13.362090289592743, 'middle eastern': 10.13515591621399, 'latino hispanic': 39.36910331249237}","(300, 137, 1659, 1070)"
34,1737795952,Unknown,27,"{'Woman': 0.25479088071733713, 'Man': 99.74520802497864}",angry (49.80),"{'asian': 11.761105805635452, 'indian': 10.090458393096924, 'black': 3.87532077729702, 'white': 25.28858184814453, 'middle eastern': 21.184207499027252, 'latino hispanic': 27.800333499908447}","(310, 133, 1658, 1069)"
35,1737795953,Unknown,36,"{'Woman': 6.313526630401611, 'Man': 93.68647336959839}",happy (56.45),"{'asian': 1.1402461677789688, 'indian': 0.2526054624468088, 'black': 0.02371417940594256, 'white': 88.8428270816803, 'middle eastern': 4.981561377644539, 'latino hispanic': 4.759050905704498}","(304, 130, 1659, 1069)"
36,1737795954,Unknown,31,"{'Woman': 14.518126845359802, 'Man': 85.48187017440796}",happy (86.30),"{'asian': 5.413052539461549, 'indian': 10.01417517493067, 'black': 3.0549347484189573, 'white': 29.090603698420082, 'middle eastern': 32.26144227249119, 'latino hispanic': 20.16578970363263}","(302, 132, 1655, 1069)"
37,1737795955,Unknown,31,"{'Woman': 75.03626942634583, 'Man': 24.963729083538055}",neutral (67.53),"{'asian': 8.769795298576355, 'indian': 5.421256273984909, 'black': 1.5129545703530312, 'white': 41.17817282676697, 'middle eastern': 19.85078603029251, 'latino hispanic': 23.2670396566391}","(96, 137, 1641, 1070)"
38,1737795956,Unknown,28,"{'Woman': 63.18572759628296, 'Man': 36.8142694234848}",neutral (91.50),"{'asian': 6.161371618509293, 'indian': 3.0149778351187706, 'black': 0.7728740107268095, 'white': 53.552091121673584, 'middle eastern': 16.786231100559235, 'latino hispanic': 19.712452590465546}","(294, 143, 1658, 1070)"
39,1737795957,Unknown,28,"{'Woman': 1.995113119482994, 'Man': 98.00488948822021}",neutral (73.74),"{'asian': 3.17608080804348, 'indian': 1.1765713803470135, 'black': 0.2847955795004964, 'white': 59.07777547836304, 'middle eastern': 8.868348598480225, 'latino hispanic': 27.416425943374634}","(101, 144, 1643, 1070)"
40,1737795958,Unknown,28,"{'Woman': 1.0060371831059456, 'Man': 98.99396300315857}",angry (70.61),"{'asian': 2.0025684091530334, 'indian': 0.8086572433897548, 'black': 0.1441915225763944, 'white': 61.57853741389959, 'middle eastern': 8.359010769010874, 'latino hispanic': 27.10703636491732}","(305, 129, 1659, 1069)"
41,1737795959,Unknown,26,"{'Woman': 0.38509087171405554, 'Man': 99.61490631103516}",neutral (92.90),"{'asian': 2.8473110869526863, 'indian': 1.1353081092238426, 'black': 0.28289020992815495, 'white': 53.59105467796326, 'middle eastern': 9.719236940145493, 'latino hispanic': 32.42420256137848}","(323, 122, 1661, 1069)"
42,1737795960,Unknown,35,"{'Woman': 10.503973811864853, 'Man': 89.49602246284485}",fear (77.43),"{'asian': 6.247842684130989, 'indian': 2.1289669652541834, 'black': 0.43516331883231624, 'white': 62.790097330820245, 'middle eastern': 14.517764987679122, 'latino hispanic': 13.880172536393706}","(276, 121, 1658, 1069)"
43,1737795961,Unknown,29,"{'Woman': 48.053526878356934, 'Man': 51.946479082107544}",sad (96.52),"{'asian': 5.320447310805321, 'indian': 12.948034703731537, 'black': 2.6586756110191345, 'white': 21.643589437007904, 'middle eastern': 37.79745697975159, 'latino hispanic': 19.631794095039368}","(91, 117, 1644, 1070)"
44,1737795962,Unknown,31,"{'Woman': 53.45231294631958, 'Man': 46.54768407344818}",sad (97.40),"{'asian': 8.823816478252411, 'indian': 12.354578077793121, 'black': 4.761169850826263, 'white': 22.81196117401123, 'middle eastern': 29.888734221458435, 'latino hispanic': 21.35973870754242}","(321, 118, 1658, 1069)"
45,1737795963,Unknown,36,"{'Woman': 66.01225137710571, 'Man': 33.98774564266205}",neutral (92.03),"{'asian': 2.68871443733149, 'indian': 4.604287621890023, 'black': 1.033789415215184, 'white': 48.08170772572848, 'middle eastern': 24.224904087174426, 'latino hispanic': 19.366603418183733}","(332, 114, 1661, 1070)"
46,1737795964,Unknown,26,"{'Woman': 0.21641745697706938, 'Man': 99.78358149528503}",fear (87.24),"{'asian': 7.891638302304644, 'indian': 5.741752653822461, 'black': 1.3658175127695509, 'white': 35.06176382671379, 'middle eastern': 15.60884211116088, 'latino hispanic': 34.33018531383188}","(333, 121, 1660, 1070)"
47,1737795965,Unknown,30,"{'Woman': 35.237252712249756, 'Man': 64.76274132728577}",sad (70.93),"{'asian': 17.623703181743622, 'indian': 7.118507474660873, 'black': 13.673590123653412, 'white': 27.241110801696777, 'middle eastern': 13.972596824169159, 'latino hispanic': 20.370493829250336}","(339, 121, 1661, 1070)"
48,1737795966,Unknown,37,"{'Woman': 79.6363353729248, 'Man': 20.363660156726837}",neutral (97.58),"{'asian': 1.2295218917442496, 'indian': 2.503193132769652, 'black': 0.2661220655141512, 'white': 54.20400823378612, 'middle eastern': 26.214851511409968, 'latino hispanic': 15.582306121725209}","(330, 121, 1647, 1070)"
49,1737795967,Unknown,28,"{'Woman': 0.8635608479380608, 'Man': 99.13643598556519}",angry (38.77),"{'asian': 4.275765269994736, 'indian': 1.496857963502407, 'black': 0.3792028874158859, 'white': 50.755733251571655, 'middle eastern': 8.808650076389313, 'latino hispanic': 34.28378999233246}","(331, 122, 1650, 1070)"
50,1737795968,Unknown,29,"{'Woman': 1.7494739964604378, 'Man': 98.2505202293396}",neutral (97.49),"{'asian': 7.062724977731705, 'indian': 4.095493257045746, 'black': 1.3684631325304508, 'white': 36.97585165500641, 'middle eastern': 13.692831993103027, 'latino hispanic': 36.8046373128891}","(328, 159, 1656, 1070)"
51,1737795969,Unknown,29,"{'Woman': 2.8340088203549385, 'Man': 97.16598987579346}",neutral (98.80),"{'asian': 7.264416352773687, 'indian': 4.570349578282212, 'black': 1.5156877199225258, 'white': 34.04543602737403, 'middle eastern': 12.62461767343388, 'latino hispanic': 39.97949600097513}","(320, 158, 1655, 1070)"
52,1737795970,Unknown,30,"{'Woman': 2.1313654258847237, 'Man': 97.8686273097992}",neutral (99.22),"{'asian': 8.398360013961792, 'indian': 3.899606317281723, 'black': 1.4664537273347378, 'white': 36.5003377199173, 'middle eastern': 12.392479926347733, 'latino hispanic': 37.342768907547}","(333, 158, 1655, 1070)"
53,1737795971,Unknown,31,"{'Woman': 1.6184737905859947, 'Man': 98.38152527809143}",neutral (99.85),"{'asian': 8.925703167915344, 'indian': 5.914784222841263, 'black': 1.9799729809165, 'white': 25.642240047454834, 'middle eastern': 10.627514123916626, 'latino hispanic': 46.90978229045868}","(337, 159, 1658, 1070)"
54,1737795972,Unknown,36,"{'Woman': 0.8175350725650787, 'Man': 99.18246865272522}",neutral (97.91),"{'asian': 3.6269526928663254, 'indian': 2.607293799519539, 'black': 0.6095669697970152, 'white': 44.16585564613342, 'middle eastern': 14.683061838150024, 'latino hispanic': 34.307271242141724}","(345, 171, 1657, 1070)"
55,1737795972,Unknown,42,"{'Woman': 0.5225347820669413, 'Man': 99.47746396064758}",neutral (44.87),"{'asian': 12.234096974134445, 'indian': 2.3078417405486107, 'black': 0.8993367664515972, 'white': 44.97963190078735, 'middle eastern': 11.247103661298752, 'latino hispanic': 28.3319890499115}","(336, 170, 1638, 1070)"
56,1737795973,Unknown,35,"{'Woman': 12.807546555995941, 'Man': 87.19245195388794}",sad (72.78),"{'asian': 18.87394898378545, 'indian': 8.228442563321742, 'black': 3.0960760993406833, 'white': 32.44042589905416, 'middle eastern': 18.761974201320065, 'latino hispanic': 18.599131321855268}","(343, 171, 1657, 1070)"
