Frame,Unix Time,Name,Age (Confidence),Gender (Confidence),Emotion (Confidence),Race Percentages,Bounding Box
32,1737796325,Unknown,30,"{'Woman': 13.818852603435516, 'Man': 86.18114590644836}",angry (45.04),"{'asian': 24.615749693855626, 'indian': 8.33599393582308, 'black': 12.593174731324597, 'white': 19.37488134949692, 'middle eastern': 14.400190973293244, 'latino hispanic': 20.680013041497055}","(154, 55, 1653, 1068)"
33,1737796326,Unknown,37,"{'Woman': 1.2465556152164936, 'Man': 98.75344038009644}",angry (67.79),"{'asian': 0.2612840151414275, 'indian': 0.15952212270349264, 'black': 0.011019619705621153, 'white': 84.3071699142456, 'middle eastern': 4.1037943214178085, 'latino hispanic': 11.157219856977463}","(124, 56, 1650, 1068)"
34,1737796327,Unknown,34,"{'Woman': 0.9804566390812397, 'Man': 99.01954531669617}",angry (58.17),"{'asian': 0.3897087648510933, 'indian': 0.2790152793750167, 'black': 0.01793862466001883, 'white': 80.99889159202576, 'middle eastern': 5.72248250246048, 'latino hispanic': 12.59196400642395}","(142, 54, 1652, 1069)"
35,1737796328,Unknown,30,"{'Woman': 89.68328833580017, 'Man': 10.316713154315948}",neutral (66.12),"{'asian': 6.025241674497227, 'indian': 6.194905188376021, 'black': 2.3741665780047523, 'white': 36.6520486266642, 'middle eastern': 24.032589735543116, 'latino hispanic': 24.72105322605689}","(142, 53, 1651, 1068)"
36,1737796329,Unknown,32,"{'Woman': 1.0559303686022758, 'Man': 98.94407391548157}",angry (47.79),"{'asian': 0.2570738550275564, 'indian': 0.16794850816950202, 'black': 0.011330185225233436, 'white': 84.56551432609558, 'middle eastern': 4.082700610160828, 'latino hispanic': 10.91543436050415}","(130, 54, 1652, 1069)"
37,1737796330,Unknown,29,"{'Woman': 80.5259644985199, 'Man': 19.474031031131744}",sad (82.80),"{'asian': 8.700351935646053, 'indian': 6.278058515671403, 'black': 4.8861312798339895, 'white': 36.258386746548815, 'middle eastern': 19.15092433398511, 'latino hispanic': 24.72614942348894}","(153, 54, 1651, 1068)"
38,1737796331,Unknown,36,"{'Woman': 1.0445239022374153, 'Man': 98.9554762840271}",angry (41.22),"{'asian': 0.5361925664509872, 'indian': 0.3362388783314156, 'black': 0.029015513702289088, 'white': 78.71060840550712, 'middle eastern': 5.921138430901673, 'latino hispanic': 14.466806618380941}","(131, 54, 1653, 1068)"
39,1737796332,Unknown,29,"{'Woman': 86.92155480384827, 'Man': 13.078448176383972}",fear (89.48),"{'asian': 6.002766624257959, 'indian': 5.822965477285711, 'black': 1.6946203154099175, 'white': 37.56058141950258, 'middle eastern': 23.34271063463155, 'latino hispanic': 25.57635459758965}","(127, 54, 1651, 1068)"
40,1737796333,Unknown,34,"{'Woman': 1.2947514653205872, 'Man': 98.70525002479553}",angry (65.28),"{'asian': 0.22220063416365587, 'indian': 0.1349993712640924, 'black': 0.006029530409388194, 'white': 88.53712609631575, 'middle eastern': 3.3752760067746643, 'latino hispanic': 7.72436903264338}","(133, 52, 1652, 1068)"
41,1737796334,Unknown,29,"{'Woman': 27.992910146713257, 'Man': 72.00708389282227}",fear (96.84),"{'asian': 14.801820504773886, 'indian': 8.608516073734526, 'black': 4.158252352967999, 'white': 28.232236399187826, 'middle eastern': 21.91741597160196, 'latino hispanic': 22.281759815320957}","(136, 53, 1651, 1069)"
42,1737796336,Unknown,32,"{'Woman': 1.1888744309544563, 'Man': 98.81112575531006}",angry (46.95),"{'asian': 0.16592592989956914, 'indian': 0.09525285553762945, 'black': 0.004374208116740286, 'white': 90.46937766488658, 'middle eastern': 2.793535197885942, 'latino hispanic': 6.471540419551159}","(131, 54, 1652, 1068)"
43,1737796337,Unknown,31,"{'Woman': 2.095704711973667, 'Man': 97.90428876876831}",sad (45.56),"{'asian': 0.14263936004500746, 'indian': 0.08018040576162373, 'black': 0.004766005724691196, 'white': 89.9195784282433, 'middle eastern': 3.673138315864701, 'latino hispanic': 6.179698552471313}","(145, 53, 1653, 1068)"
44,1737796338,Unknown,30,"{'Woman': 14.817066490650177, 'Man': 85.18292903900146}",fear (69.29),"{'asian': 22.63975874422543, 'indian': 8.431846405973817, 'black': 10.254517063767736, 'white': 20.19083620255209, 'middle eastern': 16.565367076716846, 'latino hispanic': 21.917678232054605}","(141, 54, 1651, 1069)"
45,1737796339,Unknown,39,"{'Woman': 1.1493977159261703, 'Man': 98.85059595108032}",neutral (61.27),"{'asian': 1.188489142805338, 'indian': 0.7224103901535273, 'black': 0.08332519209943712, 'white': 70.47040462493896, 'middle eastern': 8.31395760178566, 'latino hispanic': 19.221417605876923}","(125, 56, 1652, 1069)"
46,1737796340,Unknown,31,"{'Woman': 2.937217615544796, 'Man': 97.06277847290039}",neutral (58.26),"{'asian': 3.07915564079948, 'indian': 1.9223967996116638, 'black': 0.3827275466072615, 'white': 52.38774447295004, 'middle eastern': 13.065239854483588, 'latino hispanic': 29.16273822340229}","(143, 52, 1654, 1069)"
47,1737796341,Unknown,28,"{'Woman': 90.91662764549255, 'Man': 9.083379060029984}",sad (53.81),"{'asian': 7.1046143770217896, 'indian': 3.902433067560196, 'black': 1.8220128491520882, 'white': 43.25685501098633, 'middle eastern': 17.66248196363449, 'latino hispanic': 26.2516051530838}","(143, 54, 1652, 1069)"
48,1737796342,Unknown,32,"{'Woman': 0.6877967622131109, 'Man': 99.31220412254333}",neutral (63.75),"{'asian': 0.7918348535895348, 'indian': 0.48613734543323517, 'black': 0.041629362385720015, 'white': 76.72776579856873, 'middle eastern': 6.79747611284256, 'latino hispanic': 15.155160427093506}","(139, 55, 1653, 1069)"
49,1737796343,Unknown,30,"{'Woman': 9.366759657859802, 'Man': 90.63324332237244}",fear (99.88),"{'asian': 18.31949909445638, 'indian': 10.304779428528514, 'black': 4.4258217171324326, 'white': 23.330171306739526, 'middle eastern': 21.167032192172538, 'latino hispanic': 22.45269700602871}","(149, 55, 1652, 1068)"
50,1737796344,Unknown,39,"{'Woman': 18.596285581588745, 'Man': 81.40371441841125}",neutral (56.54),"{'asian': 2.3739898577332497, 'indian': 2.4770699441432953, 'black': 0.3838595701381564, 'white': 56.37239217758179, 'middle eastern': 19.97974067926407, 'latino hispanic': 18.41294914484024}","(135, 51, 1652, 1069)"
51,1737796345,Unknown,31,"{'Woman': 0.9362402372062206, 'Man': 99.06376004219055}",neutral (81.85),"{'asian': 0.6685005035251379, 'indian': 0.4263137932866812, 'black': 0.04074198077432811, 'white': 73.79584312438965, 'middle eastern': 7.111039012670517, 'latino hispanic': 17.95756220817566}","(130, 51, 1651, 1069)"
52,1737796346,Unknown,27,"{'Woman': 66.23280048370361, 'Man': 33.76719653606415}",happy (98.09),"{'asian': 13.196566700935364, 'indian': 3.523615002632141, 'black': 2.197016216814518, 'white': 39.83071446418762, 'middle eastern': 19.814656674861908, 'latino hispanic': 21.43743336200714}","(103, 60, 1654, 1068)"
53,1737796347,Unknown,32,"{'Woman': 0.41766115464270115, 'Man': 99.58233833312988}",neutral (88.69),"{'asian': 3.2414378667734782, 'indian': 4.200765368388019, 'black': 0.7936941001530945, 'white': 43.52634808578182, 'middle eastern': 15.3570780370878, 'latino hispanic': 32.880677752535206}","(87, 73, 1606, 1069)"
54,1737796348,Unknown,30,"{'Woman': 0.1630037440918386, 'Man': 99.83699917793274}",neutral (98.78),"{'asian': 0.9336216000391007, 'indian': 0.6946938992109238, 'black': 0.07569286841372361, 'white': 72.90675478617875, 'middle eastern': 8.004404336476584, 'latino hispanic': 17.384834133674747}","(175, 22, 1649, 1067)"
55,1737796349,Unknown,30,"{'Woman': 72.17025756835938, 'Man': 27.829742431640625}",sad (87.18),"{'asian': 8.165054768323898, 'indian': 7.433108240365982, 'black': 3.5844851285219193, 'white': 31.75601363182068, 'middle eastern': 22.267556190490723, 'latino hispanic': 26.79378390312195}","(169, 19, 1650, 1068)"
56,1737796350,Unknown,31,"{'Woman': 0.226728618144989, 'Man': 99.77326393127441}",neutral (66.93),"{'asian': 1.332045253366232, 'indian': 0.7235752884298563, 'black': 0.09838422993198037, 'white': 69.16213631629944, 'middle eastern': 8.481169492006302, 'latino hispanic': 20.202691853046417}","(170, 20, 1651, 1068)"
57,1737796351,Unknown,37,"{'Woman': 31.365695595741272, 'Man': 68.63430142402649}",surprise (65.84),"{'asian': 0.3901781979948282, 'indian': 0.09376151720061898, 'black': 0.004570724195218645, 'white': 92.30247735977173, 'middle eastern': 4.127484560012817, 'latino hispanic': 3.0815334990620613}","(168, 70, 1648, 1070)"
58,1737796352,Unknown,29,"{'Woman': 0.2263493835926056, 'Man': 99.77364540100098}",neutral (62.82),"{'asian': 2.5129366666078568, 'indian': 2.821866050362587, 'black': 0.47058984637260437, 'white': 48.58526885509491, 'middle eastern': 14.853902161121368, 'latino hispanic': 30.755433440208435}","(89, 86, 1580, 1070)"
59,1737796353,Unknown,26,"{'Woman': 0.12807303573936224, 'Man': 99.8719334602356}",neutral (54.38),"{'asian': 2.051622734770449, 'indian': 1.2442316308043444, 'black': 0.18896967015404462, 'white': 61.147521597442434, 'middle eastern': 9.573552361303287, 'latino hispanic': 25.79409470628563}","(152, 34, 1654, 1069)"
