Frame,Unix Time,Name,Age (Confidence),Gender (Confidence),Emotion (Confidence),Race Percentages,Bounding Box
1,1737796291,Unknown,36,"{'Woman': 31.05980157852173, 'Man': 68.94019842147827}",neutral (64.81),"{'asian': 16.544611752033234, 'indian': 13.428309559822083, 'black': 6.745632737874985, 'white': 19.237425923347473, 'middle eastern': 23.046068847179413, 'latino hispanic': 20.997945964336395}","(108, 36, 1599, 1062)"
2,1737796292,Unknown,31,"{'Woman': 52.959394454956055, 'Man': 47.04061150550842}",fear (74.27),"{'asian': 7.785840332508087, 'indian': 6.6139280796051025, 'black': 3.4446511417627335, 'white': 35.33945679664612, 'middle eastern': 20.206473767757416, 'latino hispanic': 26.609650254249573}","(163, 24, 1652, 1069)"
3,1737796293,Unknown,29,"{'Woman': 1.1552604846656322, 'Man': 98.8447368144989}",sad (37.71),"{'asian': 3.7275277078151703, 'indian': 2.956932783126831, 'black': 0.44170129112899303, 'white': 51.84257626533508, 'middle eastern': 15.46781212091446, 'latino hispanic': 25.563454627990723}","(165, 34, 1650, 1068)"
4,1737796294,Unknown,39,"{'Woman': 90.29691815376282, 'Man': 9.703080356121063}",fear (76.77),"{'asian': 1.935828406264091, 'indian': 1.7386815615702607, 'black': 0.2591449921813603, 'white': 62.62479201703024, 'middle eastern': 16.27581812595237, 'latino hispanic': 17.16573340688547}","(151, 60, 1652, 1070)"
5,1737796295,Unknown,39,"{'Woman': 97.18490242958069, 'Man': 2.815093845129013}",fear (88.07),"{'asian': 2.1379567682743073, 'indian': 2.6461634784936905, 'black': 0.4751271568238735, 'white': 52.60136127471924, 'middle eastern': 19.784539937973022, 'latino hispanic': 22.354856133461}","(145, 59, 1652, 1070)"
6,1737796296,Unknown,30,"{'Woman': 64.28132653236389, 'Man': 35.71867048740387}",neutral (91.56),"{'asian': 6.777135282754898, 'indian': 7.567058503627777, 'black': 2.864294685423374, 'white': 31.55474066734314, 'middle eastern': 25.54396688938141, 'latino hispanic': 25.692805647850037}","(137, 46, 1651, 1069)"
7,1737796298,Unknown,30,"{'Woman': 68.60737800598145, 'Man': 31.392627954483032}",neutral (94.80),"{'asian': 7.579231262207031, 'indian': 7.531151920557022, 'black': 2.8081441298127174, 'white': 30.99406063556671, 'middle eastern': 24.655194580554962, 'latino hispanic': 26.43221616744995}","(128, 48, 1653, 1069)"
8,1737796299,Unknown,31,"{'Woman': 41.16255342960358, 'Man': 58.83744955062866}",sad (99.76),"{'asian': 6.67964369058609, 'indian': 7.511638104915619, 'black': 3.5358522087335587, 'white': 33.53792130947113, 'middle eastern': 24.269895255565643, 'latino hispanic': 24.46504831314087}","(128, 47, 1653, 1070)"
9,1737796300,Unknown,32,"{'Woman': 51.92462205886841, 'Man': 48.075371980667114}",sad (99.99),"{'asian': 2.7016185224056244, 'indian': 4.650256410241127, 'black': 0.8619025349617004, 'white': 42.16121733188629, 'middle eastern': 28.978705406188965, 'latino hispanic': 20.64630389213562}","(148, 51, 1652, 1070)"
10,1737796301,Unknown,29,"{'Woman': 6.380053609609604, 'Man': 93.61995458602905}",happy (93.41),"{'asian': 5.886916443705559, 'indian': 1.7925646156072617, 'black': 0.6330935750156641, 'white': 49.48474168777466, 'middle eastern': 10.02938225865364, 'latino hispanic': 32.17330276966095}","(137, 53, 1652, 1069)"
11,1737796302,Unknown,30,"{'Woman': 45.252588391304016, 'Man': 54.747408628463745}",sad (79.61),"{'asian': 11.403847485780716, 'indian': 8.267314732074738, 'black': 3.544013202190399, 'white': 29.803112149238586, 'middle eastern': 24.199260771274567, 'latino hispanic': 22.782449424266815}","(131, 52, 1651, 1069)"
12,1737796303,Unknown,30,"{'Woman': 69.03980374336243, 'Man': 30.96020221710205}",sad (99.99),"{'asian': 3.009988353847069, 'indian': 4.01899601745558, 'black': 0.8845601354015035, 'white': 46.621548726743306, 'middle eastern': 25.990626334026615, 'latino hispanic': 19.474285182271622}","(145, 53, 1653, 1069)"
13,1737796304,Unknown,31,"{'Woman': 36.68507635593414, 'Man': 63.31492066383362}",sad (98.94),"{'asian': 3.361792489886284, 'indian': 4.858359321951866, 'black': 1.301704067736864, 'white': 41.98130965232849, 'middle eastern': 25.62020719051361, 'latino hispanic': 22.87663370370865}","(147, 53, 1652, 1070)"
14,1737796305,Unknown,27,"{'Woman': 1.009753905236721, 'Man': 98.99024963378906}",neutral (99.09),"{'asian': 9.12989228963852, 'indian': 3.0448224395513535, 'black': 0.9479131549596786, 'white': 43.14563870429993, 'middle eastern': 12.21403032541275, 'latino hispanic': 31.517699360847473}","(117, 51, 1653, 1069)"
15,1737796306,Unknown,25,"{'Woman': 0.40222108364105225, 'Man': 99.59778189659119}",neutral (80.69),"{'asian': 4.327122867107391, 'indian': 1.9929379224777222, 'black': 0.4678758792579174, 'white': 50.72606801986694, 'middle eastern': 11.859127879142761, 'latino hispanic': 30.626872181892395}","(127, 49, 1654, 1069)"
16,1737796307,Unknown,31,"{'Woman': 54.36429977416992, 'Man': 45.63570320606232}",sad (72.85),"{'asian': 6.889047473669052, 'indian': 7.892127335071564, 'black': 3.001674823462963, 'white': 31.03623390197754, 'middle eastern': 26.21588706970215, 'latino hispanic': 24.96502697467804}","(136, 55, 1653, 1070)"
17,1737796308,Unknown,30,"{'Woman': 52.01305150985718, 'Man': 47.98694849014282}",sad (63.33),"{'asian': 6.446021795272827, 'indian': 7.681029289960861, 'black': 2.2768659517169, 'white': 32.15819001197815, 'middle eastern': 26.99190080165863, 'latino hispanic': 24.445989727973938}","(127, 52, 1650, 1069)"
18,1737796310,Unknown,31,"{'Woman': 63.466763496398926, 'Man': 36.5332305431366}",fear (53.15),"{'asian': 6.812467087058251, 'indian': 8.67807767856584, 'black': 4.436070363883398, 'white': 29.295958834645678, 'middle eastern': 25.409279788093553, 'latino hispanic': 25.368149600514744}","(158, 53, 1650, 1069)"
19,1737796311,Unknown,31,"{'Woman': 51.59463882446289, 'Man': 48.40535819530487}",fear (59.11),"{'asian': 4.491530358791351, 'indian': 8.081836253404617, 'black': 2.496151812374592, 'white': 29.84757423400879, 'middle eastern': 29.631519317626953, 'latino hispanic': 25.45139193534851}","(148, 56, 1651, 1069)"
20,1737796312,Unknown,32,"{'Woman': 40.21291434764862, 'Man': 59.78708267211914}",fear (70.92),"{'asian': 4.56712581217289, 'indian': 7.831113040447235, 'black': 2.6259060949087143, 'white': 30.818691849708557, 'middle eastern': 29.676860570907593, 'latino hispanic': 24.48030561208725}","(148, 54, 1651, 1069)"
21,1737796313,Unknown,29,"{'Woman': 81.25858306884766, 'Man': 18.741415441036224}",neutral (68.78),"{'asian': 9.542975967285152, 'indian': 11.471483733830897, 'black': 10.609268171700021, 'white': 21.912970770951603, 'middle eastern': 19.528036657337744, 'latino hispanic': 26.935270659359773}","(151, 56, 1652, 1069)"
22,1737796314,Unknown,33,"{'Woman': 59.57874655723572, 'Man': 40.421247482299805}",fear (52.25),"{'asian': 4.142926880295687, 'indian': 6.80419396187031, 'black': 1.579790842818668, 'white': 33.46615335143527, 'middle eastern': 29.347311219412756, 'latino hispanic': 24.659623185373736}","(148, 56, 1651, 1069)"
23,1737796315,Unknown,30,"{'Woman': 0.45144720934331417, 'Man': 99.54854846000671}",neutral (86.68),"{'asian': 1.7798022496582417, 'indian': 1.4322326440949824, 'black': 0.19354063541311833, 'white': 60.7386446439412, 'middle eastern': 12.14830649783054, 'latino hispanic': 23.707470220772638}","(152, 55, 1652, 1069)"
24,1737796316,Unknown,31,"{'Woman': 76.63288712501526, 'Man': 23.36711883544922}",fear (73.90),"{'asian': 6.623692020929811, 'indian': 8.232778819468162, 'black': 4.312188781834986, 'white': 30.793746615201638, 'middle eastern': 25.124138578875232, 'latino hispanic': 24.913446615523505}","(154, 53, 1652, 1069)"
25,1737796317,Unknown,30,"{'Woman': 0.8750351145863533, 'Man': 99.1249680519104}",neutral (82.77),"{'asian': 0.7583610247820616, 'indian': 0.3629260929301381, 'black': 0.03342980344314128, 'white': 78.02392244338989, 'middle eastern': 6.164523214101791, 'latino hispanic': 14.65684324502945}","(127, 52, 1652, 1069)"
26,1737796318,Unknown,27,"{'Woman': 69.91738080978394, 'Man': 30.082625150680542}",neutral (50.22),"{'asian': 8.17435011267662, 'indian': 6.879423558712006, 'black': 4.240322858095169, 'white': 33.77463519573212, 'middle eastern': 22.450175881385803, 'latino hispanic': 24.481095373630524}","(133, 52, 1653, 1069)"
27,1737796319,Unknown,31,"{'Woman': 0.7490326184779406, 'Man': 99.25096035003662}",neutral (85.66),"{'asian': 0.5633211228996515, 'indian': 0.3206474706530571, 'black': 0.03191439027432352, 'white': 81.59692883491516, 'middle eastern': 5.113429576158524, 'latino hispanic': 12.373759597539902}","(123, 56, 1651, 1068)"
28,1737796320,Unknown,27,"{'Woman': 89.38045501708984, 'Man': 10.61953753232956}",sad (91.44),"{'asian': 10.297534614801407, 'indian': 4.962816461920738, 'black': 4.354030266404152, 'white': 40.84778428077698, 'middle eastern': 15.415073931217194, 'latino hispanic': 24.122759699821472}","(113, 56, 1651, 1068)"
29,1737796321,Unknown,32,"{'Woman': 0.6114282179623842, 'Man': 99.38856959342957}",neutral (73.82),"{'asian': 0.3152663308913309, 'indian': 0.2491660564640794, 'black': 0.017095241783275712, 'white': 79.96013641119816, 'middle eastern': 5.364914185697685, 'latino hispanic': 14.093423729742987}","(147, 55, 1652, 1069)"
30,1737796323,Unknown,32,"{'Woman': 0.6739331409335136, 'Man': 99.32606816291809}",neutral (56.63),"{'asian': 0.18359142122790217, 'indian': 0.1309715211391449, 'black': 0.007360042218351737, 'white': 84.47026014328003, 'middle eastern': 4.08148467540741, 'latino hispanic': 11.126329004764557}","(135, 56, 1652, 1069)"
31,1737796324,Unknown,28,"{'Woman': 91.40949249267578, 'Man': 8.590509742498398}",fear (42.62),"{'asian': 7.701173883746498, 'indian': 4.645927154775093, 'black': 2.467588109826333, 'white': 42.168107162005136, 'middle eastern': 17.836691012185277, 'latino hispanic': 25.180514167577872}","(144, 55, 1652, 1068)"
